,0
0,0.0
1,430172.04791598296
2,48765.6935483871
3,80937.96936443905
4,52678.81167945613
5,5586.226823012093
6,34314.33976416585
7,47101.731680133744
8,17810.693674783095
9,38183.11858879336
10,50471.07100591716
11,54339.12838694529
12,0.0
13,13033.4022589053
14,49452.37561151079
15,21883.09424334237
16,21216.754390726164
17,42694.08267488919
18,38028.79823879824
19,30304.151355896574
20,34680.37008561356
21,0.0
22,28449.923726622426
23,29002.108112963495
24,161519.82055464925
25,35129.839109848486
26,41147.32245917793
27,9052.512967663613
28,19246.16819911224
29,13254.878513669619
30,11610.417305092384
31,52870.40522151899
32,25389.30110584518
33,16761.583094555874
34,10833.48675160672
35,40183.82536401635
36,44631.26016491328
37,28317.582123338616
38,59278.35434980297
39,8287.021183876044
40,48325.989958220336
41,0.0
42,200083.25752946312
43,104142.34418604651
44,573730.6137144925
45,670111.248923342
46,786233.2372549019
47,406867.14882308274
48,0.0
49,0.0
